location_id,status,current_trip_id,car_id,eta_to_dropoff,eta_to_pickup
229,idle,,bdcf4a97-08ce-4f0f-805c-9e1ab9eb396c,2024-01-31T21:53:35.666666667,2024-01-31 21:35:47.666666667
194,idle,,1308ac5c-9305-4782-b931-65259feb162c,2024-01-31T21:17:00.437125749,2024-01-31 21:05:06.437125749
61,idle,,21d37fe2-68f1-48ad-b235-f73c46bcee18,2024-01-31T21:20:47.495674193,2024-01-31 21:06:17.495674193
14,idle,,533c2d37-4a96-4aa5-a26d-b5c689c7bd8e,2024-01-31T21:36:32.822976501,2024-01-31 21:07:11.822976501
41,idle,,e7a9391f-1963-4aea-828f-d1797802e92b,2024-01-31T21:21:47.749105546,2024-01-31 21:02:19.749105546
119,idle,,074e760a-a221-49f7-87a8-b66fb9afb5ab,2024-01-31T21:13:54.710078534,2024-01-31 20:51:55.710078534
141,idle,,52dab4ee-72f3-41f6-a9b5-c2ab17bab363,2024-01-31T21:13:05.273715415,2024-01-31 21:05:47.273715415
265,idle,,5c530318-3d1a-4ec7-b7b3-cb48d75833c6,2024-01-31T21:48:54.375000000,2024-01-31 21:38:58.375000000
97,idle,,5d917c74-c7ac-4bb0-b934-298bd2744b3d,2024-01-31T21:31:38.186680931,2024-01-31 21:05:53.186680931
140,idle,,a9994c1d-6a9b-4d4a-b8ff-8d8888d7859b,2024-01-31T21:30:47.082946743,2024-01-31 21:14:10.082946743
183,idle,,5a1d56bd-d768-450a-b5e4-d68d3bb95ee6,2024-01-31T21:12:21.565963432,2024-01-31 21:02:14.565963432
60,idle,,b6237f48-3475-48ae-b9fb-28f1c1d320bf,2024-01-31T21:22:49.666666667,2024-01-31 21:12:08.666666667
171,idle,,e4a5e060-7cd2-4c5f-bf88-70a00499e78a,2024-01-31T21:20:04.483493680,2024-01-31 20:54:48.483493680
174,idle,,d3dc64ee-2360-41b1-838a-be2e07cfb63d,2024-01-31T21:11:37.805854241,2024-01-31 20:46:27.805854241
69,idle,,62c74fce-2d81-4d4a-a351-03252581430a,2024-01-31T22:09:44.959401709,2024-01-31 21:38:05.959401709
178,idle,,c1de067d-89e0-4efc-bc0a-31353ac6a970,2024-01-31T21:15:51.055830707,2024-01-31 21:05:12.055830707
241,idle,,b8b81d18-8779-477d-b0e6-575c71a34467,2024-01-31T21:12:20.749105546,2024-01-31 20:57:19.749105546
129,idle,,1892beb9-19e8-464e-9fe7-a163e36198dc,2024-01-31T21:16:20.870655412,2024-01-31 21:06:07.870655412
