location_id,battery_level,status,current_trip_id,car_id,eta_to_dropoff,eta_to_pickup,charging_station_id
265,174.7299778586633,idle,,b85ae810-ed41-4762-b950-c5661af7e0a9,2024-01-31T22:26:49.508238276,2024-01-31 22:10:28.508238276,989bcf3a-8bbc-42cc-b3dc-c616298f2a27
225,290.23238988501396,idle,,d264815f-a96e-4d3f-b39c-a9bcd72271b9,2024-01-31T23:59:43.990905154,2024-01-31 23:44:02.990905154,c3a3c64b-a03e-4545-ac73-b3f02958d84f
182,106.13220172226329,en_route_to_client,799dedc9-0c2f-49b3-8f68-e39e9810dad0,6feddc6e-60c9-459c-95a5-46facae7dc50,2024-02-01T00:10:47.288504464,2024-02-01 00:01:39.288504464,3b66a3a8-6bce-426e-9b2c-8e26e4f05bf4
89,102.21014101862853,idle,,63fd3793-afea-46e0-973f-27f6ec58fc70,2024-01-31T22:21:38.635106703,2024-01-31 22:13:53.635106703,9da7c20d-6965-4270-b5c7-525fef83599a
124,160.57385556985523,en_route_with_client,9fba6aa4-18f7-4138-ba77-e858b1b15c18,1a66eecd-c0bf-45c9-bc51-78b1c8d543d2,2024-02-01T00:24:26.491516966,2024-01-31 23:44:03.491516966,e4d73cca-233f-430c-aa56-a663129e22ce
265,292.92160530617,en_route_with_client,1c4b7633-c399-4588-b476-6e8cee5ca8c7,57efa61d-4971-48c8-be72-ddcd43d3592e,2024-02-01T00:15:24.615270571,2024-01-31 23:50:51.615270571,6a42ce73-506f-4953-9b1f-3af7e2ae7064
72,268.0886347821099,en_route_to_client,1fbf82ad-5a71-41e8-bf45-4bb658f89aec,2fe1bc1d-2190-4788-98f3-82111390e5ce,2024-02-01T00:26:25.265275206,2024-02-01 00:02:16.265275206,2ffa1184-f87c-4b88-be8d-435b12192095
226,86.64888175929048,idle,,73abd4a4-570d-4958-9972-7f4b60bfcfb5,2024-01-31T23:59:41.029589254,2024-01-31 23:39:59.029589254,a75a768d-c2bb-40d1-9b1d-fbbc8d204a0f
163,238.86356313643128,en_route_with_client,74716a0d-2188-4228-b02b-b643d8881d03,2ea5953d-f268-48de-9f56-ec388e96a165,2024-02-01T00:08:23.421563618,2024-01-31 23:53:47.421563618,8e850aa0-7b32-4ae5-af10-d2d5c5a2d16b
62,90.32742159922533,en_route_to_client,948a93a0-1778-4657-a9f5-dc913dc28474,a78ff52d-cb02-4e85-af37-07f2859ad1de,2024-02-01T00:16:28.637779553,2024-02-01 00:06:46.637779553,c305f51d-9803-4cc7-933e-c0382eb3947a
141,141.69122237035396,charging,,08422744-1705-4958-8a10-acf1a2155bcd,2024-01-31T21:52:18.000000000,2024-01-31 21:31:17.000000000,bd186de2-510a-4f36-97a5-8760049e1da1
265,217.3114568591129,idle,,3b96a597-b211-4ce5-b16b-b0a0ade2deba,2024-01-31T22:33:08.330603448,2024-01-31 22:21:05.330603448,f7575894-9f84-4213-be3f-27a64dd4caf4
101,141.03301814914326,en_route_to_client,4c22fdf2-4fac-487b-b70f-6860d697e4d3,08390dde-758b-41aa-ac00-86482cfadb2c,2024-02-01T00:14:29.405271829,2024-02-01 00:01:33.405271829,ee35a847-7dac-4487-ae3e-307f4e6fdd36
186,98.54325824726595,charging,,beed7dc7-b952-4952-aa84-6182ed823b11,2024-01-31T22:40:34.000000000,2024-01-31 22:31:02.000000000,73e798d1-500b-4867-b9d1-b3b97124faad
188,248.35820111851996,idle,,95896102-0c5b-4224-99bc-4d8c49697dc0,2024-01-31T23:31:52.587757982,2024-01-31 23:03:17.587757982,478db7e5-0e8d-4820-ad0a-d58bee17af20
213,266.38620301390165,en_route_with_client,6834a1cf-8cf2-48b3-ac21-f6e37636f6e7,f19e1f46-4833-423c-a635-583667d41ad8,2024-02-01T00:05:10.465180467,2024-01-31 23:58:43.465180467,3b365095-2bda-4652-b5a3-1729b15ff420
47,208.47054955259205,idle,,1114e594-308e-48e7-a56e-2a88e4d49995,2024-01-31T23:53:43.626769971,2024-01-31 23:47:23.626769971,81b9f525-8919-40e1-b9c8-103fc7e2b849
265,177.28058992415046,idle,,83625505-1a72-4764-abfe-fd83a83ab742,2024-01-31T22:47:31.887278583,2024-01-31 22:36:11.887278583,b67fe0c7-b106-4a74-823e-94b3ed9ec177
90,78.47327202942783,en_route_with_client,67fd03a6-c4c5-4ecb-b528-4354b57433b5,69b8cd90-fb4a-4bdc-b15a-5f48d7974ea4,2024-02-01T00:22:14.921104536,2024-01-31 23:58:55.921104536,5838384b-7a15-4977-bda7-e070aee0c126
37,39.92092266023714,idle,,f364d15a-f28e-4614-82b1-f582d6c749ca,2024-01-31T23:40:55.735109718,2024-01-31 23:13:28.735109718,148c533b-6ddd-4b57-9a60-c3d05cd8a853
42,144.74001023182967,idle,,5940120a-a312-4f3a-b7b6-88f4d9f62ee3,2024-01-31T23:15:00.333333333,2024-01-31 22:55:55.333333333,230cb7e5-4426-4386-9072-31aef5bb72b0
244,44.77318247024053,en_route_to_client,544bf395-9b00-4a1b-be6f-4189e40c0ae4,5bf0b903-16bb-4ff2-9955-849ff1ad9a3b,2024-02-01T00:22:27.867878983,2024-02-01 00:04:06.867878983,7ee4c83e-c701-4af1-8469-c16eae6fe505
112,274.33992417847674,idle,,51083387-6514-4c53-9ebf-9bed94c2b3a6,2024-01-31T23:56:14.564378848,2024-01-31 23:49:11.564378848,4be5ad52-64ed-405b-9670-e50a2cc350c4
263,166.7665912015496,charging,,79985ec5-d413-4e4d-ad93-3b9d78c82e23,2024-01-31T21:20:33.426704015,2024-01-31 20:49:08.426704015,148c533b-6ddd-4b57-9a60-c3d05cd8a853
170,52.06221007184028,en_route_to_client,862fa198-971f-4355-be97-24079f6e33a5,2e2bee22-42bb-48bf-a4a8-401216521783,2024-02-01T00:27:30.298351833,2024-02-01 00:05:11.298351833,5030408f-a9ef-4554-a8e1-88b73b690518
79,80.12390279377124,idle,,af957474-59a2-444a-93c6-781c4474eefc,2024-01-31T23:59:31.960376618,2024-01-31 23:53:08.960376618,6a42ce73-506f-4953-9b1f-3af7e2ae7064
265,101.1652755269728,idle,,18bdbc4d-0d64-47cc-8463-95e506267de3,2024-01-31T22:54:36.067025440,2024-01-31 22:39:36.067025440,5030408f-a9ef-4554-a8e1-88b73b690518
