location_id,status,current_trip_id,car_id,eta_to_dropoff,eta_to_pickup
244,idle,,51c32233-8664-437d-8a50-08900ae45eee,2024-01-31T21:25:42.737581433,2024-01-31 21:12:21.737581433
45,idle,,53e0c3d5-1c65-46f5-99ea-6f7a3b61e0fe,2024-01-31T21:54:55.766578249,2024-01-31 21:16:11.766578249
198,idle,,5dfb0ca2-c2a2-424a-9bdb-22855a9b698a,2024-01-31T21:37:55.637779553,2024-01-31 21:12:46.637779553
37,idle,,f02111a2-a96f-4d87-b88e-6b2ade8e65ce,2024-01-31T21:29:09.061418392,2024-01-31 21:18:25.061418392
208,idle,,5b2fcea3-afea-42a2-b600-e6e16ef4d5e2,2024-01-31T21:29:30.728026534,2024-01-31 21:19:13.728026534
134,idle,,059b9783-0791-46c1-ae32-929125381af1,2024-01-31T21:22:21.095838588,2024-01-31 21:12:54.095838588
231,idle,,828d3a75-f3b1-43e2-a6a0-2706020ff03f,2024-01-31T21:14:04.245792315,2024-01-31 20:52:32.245792315
254,idle,,36db9410-f1e3-489b-a93e-ed71098b7f14,2024-01-31T21:16:30.000000000,2024-01-31 21:03:25.000000000
119,idle,,74bf7f75-7d24-4af9-81a2-930f2ef56ad8,2024-01-31T21:21:30.737581433,2024-01-31 21:16:21.737581433
80,idle,,b66cb7b3-5e8f-4fab-a560-896aa8743ff6,2024-01-31T21:38:23.119932432,2024-01-31 21:19:25.119932432
63,idle,,a98280c8-95d3-4ccc-be43-b656afe6ac0f,2024-01-31T21:19:06.925907872,2024-01-31 21:03:04.925907872
236,idle,,188a16c4-5581-47f2-83f1-3d1e8f4b6f09,2024-01-31T21:15:23.074733638,2024-01-31 20:52:55.074733638
72,idle,,dddb3300-a1d2-47eb-aecd-9a11389b0ac6,2024-01-31T21:22:14.293557242,2024-01-31 21:07:26.293557242
61,idle,,e9422bb1-5705-4252-acc3-c07cfac5d2cf,2024-01-31T21:28:16.255696951,2024-01-31 21:13:46.255696951
94,idle,,c9b7c1be-334c-4a8b-b2d8-7bc1413df0e3,2024-01-31T21:14:03.245792315,2024-01-31 20:40:32.245792315
22,idle,,5bd921d2-1d09-4678-a37d-f5ed757ea7d1,2024-01-31T21:14:58.637282426,2024-01-31 21:04:50.637282426
130,idle,,8cb01ab9-c599-4d40-8d7d-ecbd5ebad69e,2024-01-31T21:17:35.532577904,2024-01-31 21:03:15.532577904
178,idle,,c982a4ac-ec68-4a77-9fc4-493aef71685d,2024-01-31T21:30:15.943455497,2024-01-31 21:21:39.943455497
36,idle,,fcb0016d-4003-4a1e-9fcd-126e589a777f,2024-01-31T21:40:33.495674193,2024-01-31 21:11:17.495674193
