location_id,status,current_trip_id,car_id,eta_to_dropoff,eta_to_pickup
80,idle,,06b10086-819f-444c-a053-d28d8aaa3258,2024-01-31T23:55:31.639272087,2024-01-31 23:30:01.639272087
117,idle,,cc031bca-8606-469f-a293-8db98fbd84dd,2024-01-31T23:42:14.150690579,2024-01-31 23:17:24.150690579
265,idle,,b6aee4eb-5f2d-4784-9ffd-c62ed6a534bc,2024-01-31T22:54:22.498801917,2024-01-31 22:38:38.498801917
36,en_route_with_client,af3184f8-2658-450d-880c-96126f09280d,2baaff57-1aed-491f-a697-78acfc6b1779,2024-02-01T00:14:50.088383120,2024-01-31 23:51:46.088383120
265,en_route_to_client,ae559c8a-bff3-4756-8cdb-31ef216a123a,1c18c37c-b881-433a-bdb8-5b98797620ce,2024-02-01T00:29:12.794356397,2024-02-01 00:17:02.794356397
148,en_route_with_client,27ecb9d7-6bab-40b1-8e11-0af53e6774b1,960979d2-7740-45d7-b65e-942a6e107bbf,2024-02-01T00:00:39.925510204,2024-01-31 23:47:05.925510204
166,en_route_with_client,dfee636a-c57d-46c8-9f9e-c3f1d032dc1e,1ee6d0b1-a8a8-4327-a87b-ae6157a669f9,2024-02-01T00:16:43.829754601,2024-01-31 23:58:49.829754601
256,en_route_with_client,4a4e481d-6067-4dcc-bb9b-b53a65578383,576e1969-c61f-4597-884c-8e7890801905,2024-02-01T00:19:35.809045726,2024-01-31 23:57:31.809045726
265,idle,,5907443a-04ca-499f-bf9d-b3dfd10f6cf3,2024-01-31T23:18:39.598435973,2024-01-31 22:59:59.598435973
37,idle,,1bcab705-55f9-4cba-b25b-98b7bd2784a8,2024-01-31T23:53:57.470348139,2024-01-31 23:32:11.470348139
265,idle,,e7edd020-cdf4-4cf8-a92d-1c3ab64fa60f,2024-01-31T22:43:27.564378848,2024-01-31 22:17:11.564378848
178,idle,,b2ce618c-8dbf-4c27-b6a0-f05f8e20e8a5,2024-01-31T20:07:31.131276063,2024-01-31 19:52:01.131276063
188,idle,,454052ec-71f9-4c20-854e-a1d5ff777237,2024-01-31T22:55:35.360034640,2024-01-31 22:49:39.360034640
265,idle,,b621f8ac-dec2-4fe7-90b3-a4ef38f1f28f,2024-01-31T23:10:19.029589254,2024-01-31 22:49:59.029589254
71,idle,,464ef85a-fb84-4916-b35b-2126bfc95390,2024-01-31T23:25:32.360034640,2024-01-31 23:15:39.360034640
174,idle,,8df2f1ce-a3b7-4e20-9ec8-8c1d6e475d9a,2024-01-31T23:33:03.462192817,2024-01-31 23:22:08.462192817
7,idle,,fa6f53c1-3c9f-407c-93dd-2a629e5a2cb8,2024-01-31T23:58:20.313033894,2024-01-31 23:52:32.313033894
61,idle,,0a94f7c2-8b3d-4d12-872f-8f0133e2eb7d,2024-01-31T23:21:03.088309808,2024-01-31 23:14:55.088309808
89,idle,,28a9fc98-1198-4323-a262-7db0bacd8736,2024-01-31T23:18:54.751707830,2024-01-31 23:08:14.751707830
37,en_route_with_client,e27143b9-2228-4a93-97e0-bac9945a2b88,b37c5788-2143-40b3-84b1-b3c333d86e54,2024-02-01T00:03:58.250795267,2024-01-31 23:53:48.250795267
249,en_route_with_client,63e8e5fe-909d-4645-8226-d6025155d059,623a0b4e-911c-48f4-b842-4de93fc02903,2024-02-01T00:23:51.939865215,2024-01-31 23:55:39.939865215
51,idle,,e945b5fd-2e82-433f-aa53-1d5cf5d19881,2024-01-31T23:43:54.749105546,2024-01-31 23:29:19.749105546
102,en_route_to_client,159c3be8-f775-4983-a47b-f95454f8a409,50887479-3120-438e-bcd4-757d799711b7,2024-02-01T00:26:27.989344784,2024-02-01 00:06:00.989344784
112,en_route_with_client,2664f17f-1364-42c4-be4b-1d5617cc8675,1fdb5b04-a326-41c4-9105-23bcf4eed50c,2024-02-01T00:09:11.991433247,2024-01-31 23:59:54.991433247
226,idle,,fbd1d40f-795c-42ba-adf6-2d1786923d14,2024-01-31T23:40:04.939865215,2024-01-31 23:15:39.939865215
241,idle,,c804c003-de7b-430c-9b56-3c9bdb3e23ff,2024-01-31T23:12:29.867878983,2024-01-31 22:58:06.867878983
177,idle,,ad015e8a-1146-4152-8f23-0c852f0122f6,2024-01-31T23:13:02.630281915,2024-01-31 22:52:09.630281915
255,en_route_with_client,45a91fe4-a7ee-4e60-92f7-37389eed677a,f19703ec-adda-47e7-84dc-01b8a54159f6,2024-02-01T00:01:39.596854305,2024-01-31 23:55:28.596854305
265,idle,,4cc67aaa-c3e9-4fb4-a847-329ee66b4201,2024-01-31T22:37:44.243845252,2024-01-31 22:12:06.243845252
177,idle,,6a1c105e-29a6-4e51-935f-80a89dad6ddb,2024-01-31T19:47:32.382701422,2024-01-31 19:34:11.382701422
36,idle,,dfbc6f53-2a1f-49ea-a098-e527d90de32d,2024-01-31T23:58:10.400000000,2024-01-31 23:25:38.400000000
231,en_route_to_client,95d2404c-ebb9-42d0-9751-d299e81ce3d1,5f1aa665-3db5-4931-9074-b7e1b46a66d6,2024-02-01T00:25:29.691856012,2024-02-01 00:00:46.691856012
22,idle,,603c6348-358f-4c90-b066-4e3e60d06b0c,2024-01-31T21:28:20.598435973,2024-01-31 20:57:59.598435973
257,idle,,f2ca6dc3-fb5b-4aa0-bdcd-c78455ff9fa2,2024-01-31T23:53:06.913758971,2024-01-31 23:43:11.913758971
37,idle,,299069a9-cf33-4b67-ab70-e00c77a508ff,2024-01-31T21:53:29.434210526,2024-01-31 21:27:32.434210526
48,en_route_with_client,f7ff3c1f-fbe3-4f6d-bf47-2951cf9ecab1,8c0340e7-31a1-4ecf-b090-b3b39149b090,2024-02-01T00:06:15.508238276,2024-01-31 23:43:28.508238276
32,en_route_with_client,9e0833ef-d213-40f2-ac95-262429080cbb,9fb0b973-4159-4b0f-9084-241f0a50ea1c,2024-02-01T00:09:04.330603448,2024-01-31 23:54:05.330603448
235,idle,,8fddd628-7720-42cf-947b-3c2a32a2bdbc,2024-01-31T23:22:40.462192817,2024-01-31 23:12:08.462192817
74,idle,,71118c68-49f3-4657-a45a-4b9590248a60,2024-01-31T23:19:52.484895132,2024-01-31 23:07:31.484895132
256,en_route_with_client,4db5e0fb-a566-40d5-8065-886c042af583,28562653-363d-44c7-ba78-d1ddeceb8684,2024-02-01T00:00:49.732587065,2024-01-31 23:50:29.732587065
37,idle,,044284f0-2de5-4e22-ac62-2c5d04b78120,2024-01-31T23:42:44.605444582,2024-01-31 23:28:38.605444582
177,idle,,44d454a2-e9e5-4b6b-8606-740c272c289f,2024-01-31T22:02:44.000944287,2024-01-31 21:54:57.000944287
236,en_route_with_client,dc601ffc-eaa4-4418-b8c4-e0a22aa7dc49,d46251d2-223d-46e8-a7b8-a159decacc77,2024-02-01T00:00:03.294537056,2024-01-31 23:29:36.294537056
242,en_route_with_client,331b172b-05d1-4d6d-bdfd-bb677f9dc3a9,4de0f620-9211-427a-b953-3ae2f2221822,2024-02-01T00:01:57.997135417,2024-01-31 23:51:35.997135417
47,idle,,6a7ea9f8-fd05-497f-bfc5-26266582863d,2024-01-31T23:08:13.152729384,2024-01-31 22:58:34.152729384
42,idle,,c9aa3c96-3a10-4ede-9846-0e55e44768f5,2024-01-31T23:58:23.035451603,2024-01-31 23:33:03.035451603
265,idle,,25e031b4-70c6-4320-b893-e66a1dbc7157,2024-01-31T22:29:36.243779528,2024-01-31 22:12:32.243779528
256,en_route_to_client,164caee0-7523-488d-a48e-7a6f568e999c,bb6d6d7f-e7f0-41a7-92da-abf52f0129d1,2024-02-01T00:25:00.741518184,2024-02-01 00:06:18.741518184
233,en_route_to_client,0a72c829-b141-4531-bbed-4a9cd8955f4e,dd392023-e4c5-44f3-b98a-678a5f2db822,2024-02-01T00:13:51.841088674,2024-02-01 00:00:39.841088674
234,en_route_with_client,eec0990d-64f6-4f50-9cb1-fc0135794c48,80cddb4e-eab4-45d3-a5f9-72269cde20d8,2024-02-01T00:07:31.464341085,2024-01-31 23:33:09.464341085
208,idle,,88eda451-c5db-4785-a566-24e047229668,2024-01-31T23:56:45.586747258,2024-01-31 23:34:08.586747258
25,idle,,aeef7459-406e-47ce-b11d-7d42eada8a86,2024-01-31T23:54:31.340841248,2024-01-31 23:20:28.340841248
225,idle,,3d7cb8af-e1be-4ada-826c-a704c67f9003,2024-01-31T23:50:12.547451938,2024-01-31 23:39:45.547451938
85,idle,,08c72efd-a2df-4e07-bed2-00b4e2aaf0a9,2024-01-31T23:54:50.746808511,2024-01-31 23:34:11.746808511
145,idle,,ea401144-67b1-4043-9965-ca1100215667,2024-01-31T23:20:08.508287293,2024-01-31 22:51:16.508287293
209,en_route_with_client,8a737be8-6ae9-417e-8fcb-885eb210b1db,bf53e286-8b75-4f4d-aebe-c764679261ae,2024-02-01T00:12:21.735294118,2024-01-31 23:35:41.735294118
225,en_route_to_client,da230a9a-0009-4865-b067-5e75798374b8,da352b31-30f6-42cb-a1b3-d463d47a9efb,2024-02-01T00:18:33.534994221,2024-02-01 00:04:14.534994221
75,idle,,529f085f-0808-41d2-9916-4234e0879235,2024-01-31T23:55:09.701297547,2024-01-31 23:42:55.701297547
186,en_route_with_client,b1859678-7ac8-49d8-809a-5ddc5ba19973,08e19333-cb3d-4b7a-abd9-2f1a64cbadc9,2024-02-01T00:05:39.240372408,2024-01-31 23:49:03.240372408
7,en_route_with_client,340157ef-658f-4dde-9905-657cf6db1884,0bde3d99-1bc1-4385-841c-d1bbae6b025d,2024-02-01T00:15:27.507295811,2024-01-31 23:59:40.507295811
168,en_route_to_client,8f32fd91-9b70-4744-a315-8fef3328e223,6528c8db-a1cd-418b-9c52-a741e54daa7c,2024-02-01T00:10:35.329285381,2024-02-01 00:04:10.329285381
225,idle,,3f48c963-d03c-4df5-ab78-317fbc371616,2024-01-31T23:55:18.746808511,2024-01-31 23:44:11.746808511
72,en_route_with_client,7e61c1af-4010-45ff-a1a2-0783e82d8af8,8f7cb964-19d0-4576-86b1-7344f7e5d6e5,2024-02-01T00:09:00.711957769,2024-01-31 23:41:45.711957769
