location_id,status,current_trip_id,car_id,eta_to_dropoff,eta_to_pickup
136,idle,,18d2a3a6-a8cd-447e-bb8a-21d00ce7e3c4,2024-01-31T21:33:07.642652672,2024-01-31 21:18:33.642652672
164,idle,,a67fb1a0-1b0f-4b0f-8613-9332696f2f88,2024-01-31T21:36:22.748375116,2024-01-31 21:17:53.748375116
208,idle,,b57e1313-eda3-45b8-ab50-2acf782c1685,2024-01-31T21:18:53.000000000,2024-01-31 21:01:25.000000000
42,idle,,2c04881f-3fb4-40aa-b888-cfc058f292e6,2024-01-31T21:25:00.082946743,2024-01-31 21:17:10.082946743
236,idle,,4b1270af-7b2a-47b0-9bcd-c9dade9d43ba,2024-01-31T21:34:09.600459902,2024-01-31 21:05:09.600459902
97,idle,,c7ae9118-a675-49e0-ae54-0f1581ded105,2024-01-31T21:24:51.307712487,2024-01-31 21:06:49.307712487
129,idle,,0cd6d70e-3279-4b8c-b940-39e5cd0b7d1a,2024-01-31T21:33:51.723531612,2024-01-31 21:12:51.723531612
216,idle,,5ba1a9f5-452b-424c-b450-32a1d3756016,2024-01-31T21:19:52.330246914,2024-01-31 21:08:32.330246914
173,idle,,edc87360-59b9-4e72-bc97-7cc29ed3bddb,2024-01-31T21:17:05.103759398,2024-01-31 21:03:41.103759398
97,idle,,da591f10-3eca-4b77-9282-a32434b34687,2024-01-31T21:38:03.263924025,2024-01-31 21:02:17.263924025
79,idle,,78bb6ba3-5b58-4efc-b236-13ca500f932c,2024-01-31T21:21:36.921104536,2024-01-31 21:08:55.921104536
170,idle,,83b9626e-7f39-496c-ae14-95075f5b405c,2024-01-31T21:24:10.465987512,2024-01-31 21:17:01.465987512
77,idle,,aa1a1f90-d538-459e-aeb0-9d22eb5d63c4,2024-01-31T21:17:25.265275206,2024-01-31 21:09:16.265275206
52,idle,,238b1e17-3f6d-4a03-b832-044de821f886,2024-01-31T21:33:01.547451938,2024-01-31 21:20:45.547451938
97,idle,,060be413-1609-4c72-8f74-74136f5b0976,2024-01-31T21:48:15.952635128,2024-01-31 21:16:54.952635128
14,idle,,cb0ab35d-4ae4-49d2-8dae-cc1d258386b7,2024-01-31T21:37:00.192967033,2024-01-31 21:07:39.192967033
143,idle,,6e21cc0b-c4aa-4c9b-998a-12e6a4586616,2024-01-31T21:24:10.603571429,2024-01-31 21:09:11.603571429
80,idle,,44fb63ba-c3a6-49ab-bfc1-ded220111459,2024-01-31T21:34:02.171579743,2024-01-31 21:15:04.171579743
129,idle,,7c2f757b-0d6e-4354-9050-2645dd800af9,2024-01-31T21:22:44.192967033,2024-01-31 21:04:39.192967033
236,idle,,3e004380-8798-4a34-86c8-228cac1f22ae,2024-01-31T21:47:08.594059406,2024-01-31 21:37:05.594059406
132,idle,,0d5f66f3-81b7-4363-b6e9-6de6ca4ad2f5,2024-01-31T21:16:36.696630877,2024-01-31 21:10:28.696630877
167,idle,,3319f8dc-acf1-4431-9c6d-8403d034214f,2024-01-31T21:13:40.285714286,2024-01-31 20:46:55.285714286
238,idle,,c07c5081-f0e2-4693-938f-2bc8b37815a9,2024-01-31T21:20:48.483493680,2024-01-31 21:02:48.483493680
38,idle,,5f9b9a37-f5d1-4bcc-9862-c4e54a479c16,2024-01-31T21:17:44.923312883,2024-01-31 21:06:22.923312883
192,idle,,af292641-8ba5-47b3-9fa6-c7ed66a4df16,2024-01-31T21:40:50.835359500,2024-01-31 21:16:38.835359500
120,idle,,ecc2114c-63d8-4bfb-b683-ee3c87b9293b,2024-01-31T21:32:58.193665158,2024-01-31 21:10:59.193665158
177,idle,,6d47191d-78fd-411a-9400-6d848d1abbd4,2024-01-31T21:29:57.751579422,2024-01-31 21:19:04.751579422
71,idle,,ac3d43ce-8448-42ce-b217-16776289aa2d,2024-01-31T21:18:40.637779553,2024-01-31 21:11:46.637779553
37,idle,,314a9fd4-958e-4ed3-842f-064ca3fa80af,2024-01-31T21:18:30.088383120,2024-01-31 21:07:46.088383120
143,idle,,047b0385-d6fc-49c5-9285-4ad9c4d0ea82,2024-01-31T21:24:11.598435973,2024-01-31 21:08:59.598435973
82,idle,,d57f19af-3334-441f-91b1-e25675280bab,2024-01-31T21:27:13.552930884,2024-01-31 21:18:36.552930884
263,idle,,9d2e4da1-8c54-4726-af1d-84a0b7ee5494,2024-01-31T21:41:59.867878983,2024-01-31 21:10:06.867878983
265,idle,,bc44ba71-be5a-4fe0-8da6-0c350349f20b,2024-01-31T21:14:53.246467066,2024-01-31 21:01:02.246467066
